Quantity,PartNumber,Description,UnitPrice,Total
1,585442,3.00inchAluminumChannel,3.99,3.99
1,555152,StepperMotorMount(NEMA17),7.49,7.49
1,625176,3/16inchto5mmSetScrewShaftCoupler,4.99,4.99
1,634136,3/16inchx1inchPrecisionShaft,0.49,0.49
1,634138,3/16inchx2inchPrecisionShaft,0.69,0.69
2,633138,CenterHoleAdaptors(4pack),1.99,3.98
2,535206,1/8inchIDx3/8inchODBallBearing(2pack),1.99,3.98
1,545424,90DegreeQuadHubMountB,4.99,4.99
1,585656,BeamBracketT(Pair),1.49,1.49
1,585600,BeamAttachmentBlockB(4pack),4.99,4.99
1,585416,6.16inchAluminumBeam(2pack),5.49,5.49
1,615410,32PBeamGearRack,5.99,5.99
2,585434,1inchBoreTubeClampA,5.99,11.98
1,585612,BeamBracketF(Pair),1.49,1.49
1,585404,1.54inchAluminumBeam(2pack),2.39,2.39
1,585490,BeamCrossoverAdaptorA,2.99,2.99
1,585400,AttachmentBlocks(12pack),9.99,9.99
1,545360,90DegreeQuadHubMountC,5.99,5.99
1,632146,ActoboticsHardwarePackA,39.99,39.99
1,632148,HardwarePackB,10.99,10.99
4,534-3488,6-32x.750inchAluminumStandoffs(Round),0.45,1.80
